decade,poem_count,total_words,archaism_count,archaisms_per_1000
1720,5,1336,37,27.694610778443113
1730,77,8521,201,23.588780659547
1740,19,7521,135,17.949740725967292
1750,60,10891,190,17.445597282159582
1760,42,5919,120,20.27369488089204
1770,60,9623,143,14.860230697287749
1780,38,13649,185,13.554106527950767
1790,69,19371,263,13.576996541221414
1800,79,19842,281,14.161878842858583
1810,369,65151,773,11.864744977053306
1820,775,121631,1340,11.016928250199374
1830,742,95880,1168,12.18189403420943
1840,558,78914,725,9.187216463491902
1850,626,85702,771,8.996289468157103
1860,272,42862,382,8.912323270029397
1870,285,44305,355,8.012639656923596
1880,418,40653,332,8.166678965881976
1890,493,40609,363,8.938905168804945
1900,1004,98347,826,8.398832704607155
1910,1470,148469,1157,7.792872586196445
1920,1099,153322,1167,7.611432149332777
1930,747,105199,755,7.17687430488883
1940,890,118379,782,6.605901384536109
1950,807,110172,696,6.3173946193225134
1960,1164,165099,1053,6.3779913869859906
1970,616,104879,659,6.283431382831644
1980,47,6481,43,6.634778583551921
1990,26,3378,20,5.920663114268798
